No,code,player_win,player_lose,position_win,wlA,wl1,wl2,wl3,llA,ll1,ll2,ll3,ww1,ww2,ww3,ww4,ww5,ww6,ww7,ww8,lw1,lw2,lw3,lw4,lw5,lw6,lw7,lw8
69,JASULENA,XiePei,ben0728,0,汉谟拉比,圣女贞德,凯瑟琳大帝,丘吉尔,荷马,伊莎贝拉,诺贝尔,顾拜旦,罗马大道,紫禁城,0,0,0,0,0,0,金字塔,丝绸之路,苏伊士运河,0,0,0,0,0
70,LASULENA,xuxu,nopeace,0,亚里士多德,诺查丹玛斯,高迪,丘吉尔,汉谟拉比,米开朗基罗,罗伯斯比尔,比尔盖茨,大学,大教堂,0,0,0,0,0,0,巨石阵,姬路城,哈佛大学,自由女神像,0,0,0,0
71,DASULENA,INVENTRIX,Dazzy,0,神医,巴巴罗萨,牛顿,弗莱明,大帝,杰士卡,库克,顾拜旦,大图书馆,大教堂,快餐连锁店,0,0,0,0,0,罗马大道,埃菲尔铁塔,哈佛大学,0,0,0,0,0
72,FESULENA,fu1luo,xuxu,0,荷马,圣女贞德,诺贝尔,弗莱明,神医,达芬奇,达尔文,卓别林,大图书馆,大教堂,埃菲尔铁塔,0,0,0,0,0,斗兽场,姬路城,远洋游轮,0,0,0,0,0
73,HESULENA,INVENTRIX,Dazzy,1,神医,圣女贞德,莎士比亚,爱因斯坦,汉谟拉比,伊莎贝拉,达尔文,比尔盖茨,大图书馆,0,0,0,0,0,0,0,雅典卫城,紫禁城,苏伊士运河,0,0,0,0,0
74,MESULENA,SPLINTER,PeaceSeeker,1,神医,诺查丹玛斯,罗伯斯比尔,居里夫人,汉谟拉比,伊莎贝拉,凯瑟琳大帝,爱因斯坦,罗马大道,大教堂,0,0,0,0,0,0,巨石阵,大学,0,0,0,0,0,0
75,CISULENA,Dazzy,xuxu,1,大帝,圣女贞德,巴赫,顾拜旦,孔子,伊莎贝拉,拿破仑,丘吉尔,斗兽场,哈佛大学,红十字会,0,0,0,0,0,罗马大道,泰姬陵,联合国,0,0,0,0,0
76,TISULENA,Cleveer,Aluk,1,孔子,伊莎贝拉,高迪,丘吉尔,汉谟拉比,米开朗基罗,莎士比亚,甘地,巨石阵,埃菲尔铁塔,好莱坞,0,0,0,0,0,金字塔,泰姬陵,姬路城,克里姆林宫,0,0,0,0
77,HISULENA,ben0728,INVENTRIX,1,埃及艳后,萨拉丁,莎士比亚,黛德丽,孔子,古藤堡,达尔文,顾拜旦,巨人像,泰姬陵,跨洲铁路,联合国,0,0,0,0,大图书馆,哈佛大学,0,0,0,0,0,0
78,ROSULENA,SPLINTER,Che,0,凯撒,哥伦布,罗伯斯比尔,甘地,大帝,杰士卡,诺贝尔,曼德拉,罗马大道,姬路城,远洋游轮,0,0,0,0,0,巨石阵,跨洲铁路,快餐连锁店,0,0,0,0,0
79,BUSULENA,Dazzy,V0jta,0,神医,圣女贞德,库克,顾拜旦,汉谟拉比,古藤堡,莎士比亚,黛德丽,大图书馆,姬路城,苏伊士运河,首飞,0,0,0,0,巨石阵,0,0,0,0,0,0,0
80,VUSULENA,INVENTRIX,Aluk,0,孔子,达芬奇,莎士比亚,黛德丽,凯撒,埃莉诺,达尔文,爱因斯坦,罗马大道,远洋游轮,埃菲尔铁塔,0,0,0,0,0,斗兽场,曼哈顿计划,0,0,0,0,0,0
81,DUSULENA,Cleveer,xuxu,1,摩西,达芬奇,特蕾莎,卓别林,大帝,圣女贞德,牛顿,弗莱明,空中花园,远洋游轮,快餐连锁店,0,0,0,0,0,金字塔,马丘比丘,互联网,首飞,0,0,0,0
82,KUSULENA,PeaceSeeker,ChinaWanping,0,阿育王,哥伦布,巴赫,黛德丽,汉谟拉比,伊莎贝拉,高迪,丘吉尔,金字塔,马丘比丘,哈佛大学,0,0,0,0,0,紫禁城,0,0,0,0,0,0,0
83,ZECULENA,INVENTRIX,Dazzy,0,汉谟拉比,达芬奇,莎士比亚,弗莱明,神医,萨拉丁,高迪,无,大图书馆,马丘比丘,红十字会,0,0,0,0,0,金字塔,大学,0,0,0,0,0,0
84,PACULENA,pv4,Che,1,汉谟拉比,米开朗基罗,巴赫,黛德丽,摩西,杰士卡,罗伯斯比尔,丘吉尔,大图书馆,泰姬陵,苏伊士运河,远洋游轮,0,0,0,0,罗马大道,自由女神像,0,0,0,0,0,0
85,GICULENA,yamisad,Dazzy,0,孔子,哥伦布,牛顿,弗莱明,凯撒,诺查丹玛斯,库克,甘地,金字塔,紫禁城,远洋游轮,0,0,0,0,0,巨石阵,苏伊士运河,0,0,0,0,0,0
86,FICULENA,xuxu,Cleveer,1,大帝,诺查丹玛斯,库克,卓别林,汉谟拉比,圣女贞德,高迪,顾拜旦,紫禁城,跨洲铁路,好莱坞,0,0,0,0,0,金字塔,姬路城,首飞,0,0,0,0,0
87,PUCULENA,ChinaWanping,fu1luo,0,大帝,圣女贞德,罗伯斯比尔,比尔盖茨,荷马,杰士卡,诺贝尔,无,巨人像,大教堂,0,0,0,0,0,0,大图书馆,马丘比丘,0,0,0,0,0,0
88,KAJABENA,Dazzy,ChinaWanping,0,汉谟拉比,圣女贞德,莎士比亚,黛德丽,神医,杰士卡,凯瑟琳大帝,无,罗马大道,克里姆林宫,0,0,0,0,0,0,金字塔,丝绸之路,苏伊士运河,0,0,0,0,0
89,DIJABENA,Dazzy,ChinaWanping,0,大帝,萨拉丁,罗伯斯比尔,曼德拉,孙子,巴巴罗萨,诺贝尔,顾拜旦,大图书馆,哈佛大学,0,0,0,0,0,0,巨人像,丝绸之路,0,0,0,0,0,0
90,JIJABENA,nopeace,ichen,1,埃及艳后,米开朗基罗,瓦特,弗莱明,大帝,圣女贞德,拿破仑,席德梅尔,长城,丝绸之路,紫禁城,自由女神像,0,0,0,0,巨石阵,苏伊士运河,克里姆林宫,0,0,0,0,0
91,MUJABENA,Dazzy,ChinaWanping,0,大帝,巴巴罗萨,凯瑟琳大帝,无,汉谟拉比,杰士卡,拿破仑,黛德丽,巨石阵,长城,0,0,0,0,0,0,罗马大道,姬路城,哈佛大学,0,0,0,0,0
92,TEMABENA,Dazzy,ChinaWanping,0,汉谟拉比,萨拉丁,达尔文,乔布斯,埃及艳后,米开朗基罗,莎士比亚,黛德丽,紫禁城,埃菲尔铁塔,克里姆林宫,首飞,0,0,0,0,罗马大道,大学,姬路城,0,0,0,0,0
93,RAMABENA,INVENTRIX,pv4,1,神医,萨拉丁,牛顿,丘吉尔,埃及艳后,达芬奇,莎士比亚,甘地,大图书馆,马丘比丘,快餐连锁店,0,0,0,0,0,金字塔,罗马大道,远洋游轮,0,0,0,0,0
